OriginalName,BITHub_structure,Dataset
Brain - Amygdala,AMY,GTEx
Brain - Cerebellum,CB,GTEx
Brain - Hypothalamus,HYP,GTEx
Brain - Substantia nigra,SNA,GTEx
Brain - Anterior cingulate cortex (BA24),ACC,GTEx
Brain - Cortex,CTX,GTEx
Brain - Nucleus accumbens (basal ganglia,NAC,GTEx
Brain - Caudate (basal ganglia),CGE,GTEx
Brain - Frontal Cortex (BA9),DLPFC,GTEx
Brain - Putamen (basal ganglia),PUT,GTEx
Brain - Cerebellar Hemisphere,CBC,GTEx
Brain - Hippocampus,HIP,GTEx
Brain - Spinal cord (cervical c-1),SC1,GTEx